"analysisId","outcomeId","exposureId","z","events","database","look","method"
13,1068,1082,4.941770647653,490,"CCAE",1,"SCCS"
13,3892,1082,4.88928150765607,251,"CCAE",1,"SCCS"
13,1075,1082,4.61482313307131,61,"CCAE",1,"SCCS"
13,5832,1082,4.75373993095512,44,"CCAE",1,"SCCS"
13,3599,1082,4.94530321046373,1033,"CCAE",1,"SCCS"
13,635,1082,5.02409638554217,352,"CCAE",1,"SCCS"
13,5827,1082,5.10873549175321,8,"CCAE",1,"SCCS"
13,5825,1082,5.02772754671489,342,"CCAE",1,"SCCS"
13,601,1082,5.08642726719416,5,"CCAE",1,"SCCS"
13,609,1082,4.85823081429408,15,"CCAE",1,"SCCS"
13,369,1082,5.04960677555959,429,"CCAE",1,"SCCS"
13,3815,1082,4.98802395209581,80,"CCAE",1,"SCCS"
13,2823,1082,5.30517023959647,3,"CCAE",1,"SCCS"
13,1079,1082,4.52486187845304,27,"CCAE",1,"SCCS"
13,3803,1082,4.86510263929619,197,"CCAE",1,"SCCS"
13,1308,1082,4.65291124929339,38,"CCAE",1,"SCCS"
13,1148,1082,4.824111822947,17,"CCAE",1,"SCCS"
13,624,1082,4.78368999421631,226,"CCAE",1,"SCCS"
13,5829,1082,5.57030223390276,12,"CCAE",1,"SCCS"
13,5828,1082,4.78034682080925,214,"CCAE",1,"SCCS"
13,2453,1082,5.04960677555959,677,"CCAE",1,"SCCS"
13,366,1082,4.87889476778366,5,"CCAE",1,"SCCS"
13,1122,1082,4.64971751412429,24,"CCAE",1,"SCCS"
13,1125,1082,5.1012812690665,22,"CCAE",1,"SCCS"
13,1126,1082,3.54338936846888,5,"CCAE",1,"SCCS"
14,3073,1082,2.86398763523957,126,"CCAE",1,"SCCS"
14,5752,1082,2.7821482602118,22,"CCAE",1,"SCCS"
14,5520,1082,2.66032210834553,5,"CCAE",1,"SCCS"
14,3072,1082,3.29737859905458,11,"CCAE",1,"SCCS"
14,5760,1082,2.72300819061802,15,"CCAE",1,"SCCS"
14,609,1082,2.97930760047752,15,"CCAE",1,"SCCS"
14,1077,1082,2.88953714507974,27,"CCAE",1,"SCCS"
14,5522,1082,2.81533765738268,9,"CCAE",1,"SCCS"
14,5754,1082,3.11861614497529,8,"CCAE",1,"SCCS"
14,627,1082,2.77643504531722,34,"CCAE",1,"SCCS"
14,5639,1082,2.95413206801107,5,"CCAE",1,"SCCS"
14,5768,1082,2.91236306729264,8,"CCAE",1,"SCCS"
14,5761,1082,3.06669377795852,3,"CCAE",1,"SCCS"
14,2927,1082,2.89863547758285,428,"CCAE",1,"SCCS"
14,610,1082,3.29000429000429,12,"CCAE",1,"SCCS"
15,576,1082,0.933114247052001,2085,"CCAE",1,"SCCS"
15,5767,1082,1.1519259737465,18,"CCAE",1,"SCCS"
15,2764,1082,0.948178453146308,530,"CCAE",1,"SCCS"
15,3019,1082,0.943634596695821,35,"CCAE",1,"SCCS"
15,611,1082,0.953506544246923,81,"CCAE",1,"SCCS"
1,345,1082,87.4955752212389,98,"Optum",1,"SCCS"
2,2796,1082,17.3823529411765,93,"Optum",1,"SCCS"
2,622,1082,17.7617260787992,541,"Optum",1,"SCCS"
2,2763,1082,18.1204588910134,1634,"Optum",1,"SCCS"
2,2795,1082,18.1204588910134,1014,"Optum",1,"SCCS"
2,1075,1082,18.3050193050193,60,"Optum",1,"SCCS"
2,3074,1082,18.2678227360308,294,"Optum",1,"SCCS"
2,3075,1082,18.3050193050193,272,"Optum",1,"SCCS"
2,1079,1082,18.2678227360308,25,"Optum",1,"SCCS"
2,1308,1082,18.3423597678917,37,"Optum",1,"SCCS"
3,3755,1082,8.68054211035818,227,"Optum",1,"SCCS"
3,620,1082,8.74658869395711,3,"Optum",1,"SCCS"
3,5831,1082,8.74658869395711,2,"Optum",1,"SCCS"
3,5830,1082,8.74658869395711,1,"Optum",1,"SCCS"
3,3619,1082,8.65250965250965,615,"Optum",1,"SCCS"
3,1068,1082,8.56937799043062,458,"Optum",1,"SCCS"
3,3892,1082,8.46969696969697,219,"Optum",1,"SCCS"
3,1075,1082,8.78473581213307,60,"Optum",1,"SCCS"
3,5832,1082,8.71817298347911,64,"Optum",1,"SCCS"
3,3599,1082,8.68054211035818,935,"Optum",1,"SCCS"
3,635,1082,8.49667616334283,352,"Optum",1,"SCCS"
3,5827,1082,8.64320154291225,16,"Optum",1,"SCCS"
3,5825,1082,8.4876660341556,332,"Optum",1,"SCCS"
3,601,1082,8.02527075812274,15,"Optum",1,"SCCS"
3,609,1082,9.66098081023454,5,"Optum",1,"SCCS"
3,369,1082,8.58772770853308,373,"Optum",1,"SCCS"
3,3815,1082,8.15750915750916,60,"Optum",1,"SCCS"
3,2823,1082,8.74658869395711,2,"Optum",1,"SCCS"
3,1079,1082,8.63391136801541,25,"Optum",1,"SCCS"
3,3803,1082,8.53288846520496,186,"Optum",1,"SCCS"
3,1308,1082,8.88142292490119,37,"Optum",1,"SCCS"
3,1148,1082,8.78473581213307,45,"Optum",1,"SCCS"
3,624,1082,8.58772770853308,191,"Optum",1,"SCCS"
3,5829,1082,8.04159132007233,9,"Optum",1,"SCCS"
3,5828,1082,8.67117988394584,176,"Optum",1,"SCCS"
3,2453,1082,8.68054211035818,573,"Optum",1,"SCCS"
3,366,1082,8.74658869395711,2,"Optum",1,"SCCS"
3,1122,1082,8.8135426889107,41,"Optum",1,"SCCS"
3,1125,1082,8.50570342205323,26,"Optum",1,"SCCS"
3,1126,1082,7.73362445414847,7,"Optum",1,"SCCS"
4,3073,1082,5.43086816720257,134,"Optum",1,"SCCS"
4,5752,1082,5.6006600660066,17,"Optum",1,"SCCS"
4,5520,1082,5.50195058517555,3,"Optum",1,"SCCS"
4,3072,1082,5.265664160401,11,"Optum",1,"SCCS"
4,5760,1082,5.50195058517555,7,"Optum",1,"SCCS"
4,609,1082,6.41839762611276,5,"Optum",1,"SCCS"
4,1077,1082,5.38569604086845,33,"Optum",1,"SCCS"
4,5522,1082,5.5402223675605,12,"Optum",1,"SCCS"
4,5754,1082,5.34517766497462,9,"Optum",1,"SCCS"
4,627,1082,5.64010624169987,23,"Optum",1,"SCCS"
4,5639,1082,5.50195058517555,5,"Optum",1,"SCCS"
4,5768,1082,5.38162093171666,12,"Optum",1,"SCCS"
4,5761,1082,5.75219446320054,7,"Optum",1,"SCCS"
4,2927,1082,5.5402223675605,569,"Optum",1,"SCCS"
4,610,1082,5.22277535780958,13,"Optum",1,"SCCS"
5,576,1082,2.2123353678124,2082,"Optum",1,"SCCS"
5,5767,1082,1.86697247706422,7,"Optum",1,"SCCS"
5,2764,1082,2.19590923617769,557,"Optum",1,"SCCS"
5,3019,1082,2.1328320802005,38,"Optum",1,"SCCS"
5,611,1082,2.18775900541919,92,"Optum",1,"SCCS"
6,345,1082,369.37037037037,296,"Optum",1,"SCCS"
7,2796,1082,79,222,"Optum",1,"SCCS"
7,622,1082,80.3008130081301,1450,"Optum",1,"SCCS"
7,2763,1082,81.6446280991736,5370,"Optum",1,"SCCS"
7,2795,1082,82.3333333333333,3197,"Optum",1,"SCCS"
7,1075,1082,82.3333333333333,177,"Optum",1,"SCCS"
7,3074,1082,77.740157480315,853,"Optum",1,"SCCS"
7,3075,1082,77.740157480315,759,"Optum",1,"SCCS"
7,1079,1082,82.3333333333333,66,"Optum",1,"SCCS"
7,1308,1082,82.3333333333333,118,"Optum",1,"SCCS"
8,3755,1082,40.6666666666667,720,"Optum",1,"SCCS"
8,620,1082,36.1747211895911,11,"Optum",1,"SCCS"
8,5831,1082,41.3728813559322,2,"Optum",1,"SCCS"
8,5830,1082,35.101083032491,9,"Optum",1,"SCCS"
8,3619,1082,40.49377593361,1949,"Optum",1,"SCCS"
8,1068,1082,39.8163265306122,1291,"Optum",1,"SCCS"
8,3892,1082,39.650406504065,631,"Optum",1,"SCCS"
8,1075,1082,41.5531914893617,177,"Optum",1,"SCCS"
8,5832,1082,41.1940928270042,160,"Optum",1,"SCCS"
8,3599,1082,40.6666666666667,3004,"Optum",1,"SCCS"
8,635,1082,40.3223140495868,991,"Optum",1,"SCCS"
8,5827,1082,42.1034482758621,34,"Optum",1,"SCCS"
8,5825,1082,40.1522633744856,954,"Optum",1,"SCCS"
8,601,1082,36.593984962406,23,"Optum",1,"SCCS"
8,609,1082,34.4609929078014,10,"Optum",1,"SCCS"
8,369,1082,39.983606557377,1147,"Optum",1,"SCCS"
8,3815,1082,38.6825396825397,176,"Optum",1,"SCCS"
8,2823,1082,29.03003003003,5,"Optum",1,"SCCS"
8,1079,1082,41.7350427350427,66,"Optum",1,"SCCS"
8,3803,1082,39.650406504065,518,"Optum",1,"SCCS"
8,1308,1082,41.5531914893617,118,"Optum",1,"SCCS"
