targetId,comparatorId,outcomeIds,excludedCovariateConceptIds
1082,5373,576;2796;622;3755;345;2763;2795;5767;2764;3073;620;5831;5830;3619;1068;5752;3892;1075;5832;3599;635;5827;5825;601;5520;3072;5760;3074;3075;609;369;3815;1077;2823;5522;3019;5754;1079;627;5639;3803;1308;1148;624;5829;5828;2453;5768;5761;366;2927;1122;1125;1126;610;611,
1082,5374,576;2796;622;3755;345;2763;2795;5767;2764;3073;620;5831;5830;3619;1068;5752;3892;1075;5832;3599;635;5827;5825;601;5520;3072;5760;3074;3075;609;369;3815;1077;2823;5522;3019;5754;1079;627;5639;3803;1308;1148;624;5829;5828;2453;5768;5761;366;2927;1122;1125;1126;610;611,
